# Heliports carrying a real ICAO code. Source: OpenStreetMap (ODbL), via fetch_osm.py.
# GENERATED by tools/poi/build_poi.py -- do not hand-edit; edit the generator or refetch.
# Unnamed rooftop and hospital pads are deliberately excluded: a pictogram with no usable
# identifier beside it tells the wearer nothing.
# Columns: code,lat,lon,type,flags   (type 0 = airfield, flags 2 = helipad, +1 = military)
code,lat,lon,type,flags
2CA0,36.48707,-118.84018,0,2
4NK0,42.09222,-79.23147,0,2
53FA,28.30804,-82.48688,0,2
72CA,39.97336,-120.93948,0,2
BGAG,72.88704,-55.59622,0,2
BGAK,68.74435,-52.34020,0,2
BGAM,65.61230,-37.61836,0,2
BGAP,60.46451,-45.56922,0,2
BGAQ,60.14836,-44.28691,0,2
BGAR,61.17686,-48.41977,0,2
BGAS,60.59567,-45.38288,0,2
BGAT,67.94005,-53.62280,0,2
BGBW,61.16042,-45.42507,0,2
BGCH,68.82278,-51.17353,0,2
BGFD,60.00362,-44.65624,0,2
BGGD,61.22905,-48.09696,0,2
BGGN,69.25117,-53.51486,0,2
BGIA,70.49813,-51.30315,0,2
BGIG,68.14581,-53.16954,0,2
BGIG,68.14667,-53.20000,0,2
BGIK,68.14088,-53.44145,0,2
BGIL,69.08230,-51.10825,0,2
BGIN,73.20242,-56.01122,0,2
BGIO,60.99230,-45.43141,0,2
BGIS,65.54658,-38.97773,0,2
BGIT,68.63221,-51.83369,0,2
BGKA,68.31266,-53.46026,0,2
BGKL,72.15550,-55.53492,0,2
BGKM,65.86384,-36.99550,0,2
BGKQ,74.57943,-57.23542,0,2
BGKS,72.38106,-55.53649,0,2
BGKT,68.85793,-53.12401,0,2
BGLL,71.23976,-53.55548,0,2
BGMO,76.75091,-69.82840,0,2
BGMO,76.75326,-69.85212,0,2
BGNK,68.23913,-52.84309,0,2
BGNK,68.24833,-52.88000,0,2
BGNL,60.35723,-44.82803,0,2
BGNN,60.14188,-45.23308,0,2
BGNQ,71.53875,-53.20506,0,2
BGNS,60.91726,-46.05987,0,2
BGNT,70.78900,-53.65609,0,2
BGNU,74.10986,-57.06510,0,2
BGQE,69.99945,-51.30374,0,2
BGQK,61.14593,-45.51317,0,2
BGQT,60.77940,-47.15257,0,2
BGSC,70.48821,-21.97184,0,2
BGSG,65.90591,-36.37823,0,2
BGSI,77.78652,-70.63848,0,2
BGSO,60.53796,-46.02293,0,2
BGSQ,70.01144,-51.93212,0,2
BGST,70.80868,-51.62665,0,2
BGSV,76.01864,-65.11755,0,2
BGTA,73.37308,-56.06029,0,2
BGTN,65.89203,-37.78341,0,2
BGTQ,60.19319,-44.82000,0,2
BGUM,70.68038,-52.11164,0,2
BGUT,71.05125,-51.88427,0,2
BKVR,42.51371,21.53449,0,2
CAC6,51.07583,-114.14770,0,2
CBBC,58.39037,-134.76927,0,2
CBC7,49.28657,-123.10649,0,2
CBF7,48.41804,-123.38746,0,2
CCH6,46.41783,-63.77402,0,2
CDH5,49.16048,-123.92326,0,2
CEM2,50.98828,-114.09830,0,2
CHQE,44.64594,-63.58663,0,2
CIW2,44.63700,-63.58446,0,2
CLP2,45.57860,-73.75003,0,2
CNK7,51.10347,-115.01229,0,2
CPZ6,45.52983,-73.65782,0,2
CQH2,45.29872,-75.50066,0,2
CSU8,46.44945,-81.04491,0,2
CWG2,49.90049,-97.09560,0,2
CYBD,61.21270,-149.82662,0,2
CYBN,44.27160,-79.91236,0,2
CYCX,45.83778,-66.43672,0,2
EBAD,50.91725,3.16541,0,2
EBAK,51.20000,4.35969,0,2
EBAL,50.94314,4.05570,0,2
EBAW,51.18723,4.45976,0,2
EBBA,50.46954,3.83877,0,2
EBBC,51.30515,4.62958,0,2
EBBM,50.83089,3.77409,0,2
EBCH,50.64822,5.53428,0,2
EBCT,50.50311,3.98250,0,3
EBDL,51.01744,5.69982,0,2
EBDY,50.57542,4.35808,0,2
EBEA,51.19117,3.53448,0,2
EBEB,51.10084,3.65357,0,2
EBEU,51.15590,4.40984,0,2
EBFI,51.33269,3.36440,0,2
EBFR,50.45612,5.95378,0,2
EBGE,50.37578,4.48628,0,2
EBGH,50.42090,4.48986,0,2
