# Naval bases and naval harbours. Source: OpenStreetMap (ODbL), via tools/poi/fetch_osm.py.
# GENERATED by tools/poi/build_poi.py -- do not hand-edit; edit the generator or refetch.
# Codes are derived from the site name, not from UN/LOCODE: OSM carries no code for these.
# Sites without a Latin-script name are dropped rather than given an invented label.
# Columns: code,lat,lon,type,flags   (type 1 = port, flags 1 = military -> warship glyph)
code,lat,lon,type,flags
ABANDO,51.94896,-176.58796,1,1
ABDULA,26.96435,49.69711,1,1
ABOUD,25.28808,51.58216,1,1
ACADEM,37.16646,9.79905,1,1
ACCADE,43.53108,10.30816,1,1
ADAK,51.81076,-176.61505,1,1
ADAK,51.89828,-176.62452,1,1
ADMINI,38.25017,21.73622,1,1
AERONA,-15.35764,-75.13425,1,1
AERONA,8.94559,-79.57739,1,1
AERONA,19.36009,-90.72152,1,1
AERONA,24.09441,-110.36518,1,1
AFM,35.89600,14.50195,1,1
AGBO,9.78455,79.94123,1,1
AHSAN,25.18988,64.60453,1,1
AIRES,-34.59370,-58.36834,1,1
AIRFIE,26.94189,49.70485,1,1
AIRPOR,30.69889,-87.01496,1,1
AIRPOR,30.72267,-87.02276,1,1
AIRPOR,36.33300,-119.95200,1,1
AIRPOR,36.95282,-76.30429,1,1
AIRSTR,24.47499,-111.82537,1,1
AKSAZ,36.83343,28.38715,1,1
AKUREG,6.87875,79.92627,1,1
ALAMED,37.77371,-122.24430,1,1
ALANO,14.49427,120.90750,1,1
ALDEIA,-22.79962,-42.08554,1,1
ALDERG,49.07845,-122.48181,1,1
ALDERG,49.10752,-122.24194,1,1
ALVNAB,57.68065,11.86103,1,1
AMALIA,39.17006,22.88716,1,1
AMARIL,35.19886,-101.80916,1,1
AMBERJ,44.52669,-67.61613,1,1
AMBULA,-22.79470,-43.57938,1,1
AMMBAL,-9.67438,-35.71840,1,1
ANNAPO,38.98824,-76.46248,1,1
ANTONI,-43.21668,-65.27025,1,1
ANTONI,21.90020,-84.90729,1,1
ANVIL,32.77333,-79.94485,1,1
APOLIN,7.15373,125.66073,1,1
ARATU,-12.80205,-38.48908,1,1
ARENAS,-53.12085,-70.87005,1,1
ARGENT,-52.32874,-68.38604,1,1
ARGENT,-45.94606,-67.58343,1,1
ARGENT,-45.93043,-67.55556,1,1
ARGENT,-39.16667,-67.09787,1,1
