# Sea ports, keyed by UN/LOCODE. Source: marchah/sea-ports (MIT).
# Columns: code,lat,lon,type,flags
# flags is a bitfield: 1 = military, 2 = helipad (rotorcraft only). It picks the pictogram
# on the dial -- see render/SiteGlyph.kt -- and nothing else; ranking is by type alone.
# No record carries flag 1 yet. The source has no navy field, and a LOCODE names a place
# rather than a facility -- USSAN is San Diego the commercial port, which also happens to
# host a fleet, and JPYOK is Yokohama, not the naval base at Yokosuka (JPYOS). Flagging
# these from memory is how you ship a warship glyph on a container terminal, so they stay
# civil until someone checks each one. The warship silhouette is wired up and tested.
code,lat,lon,type,flags
AEAJM,25.40522,55.51364,1,0
AEAUH,24.47000,54.37000,1,0
AEDXB,25.25000,55.27000,1,0
AEFJR,25.12000,56.33000,1,0
AEJEA,24.98571,55.02729,1,0
AEJED,24.19151,52.61260,1,0
AEKLF,25.33000,56.35000,1,0
AEPRA,25.28476,55.27565,1,0
AEQIW,25.57000,55.55000,1,0
AERKT,25.78000,55.95000,1,0
AERUW,24.12000,52.73000,1,0
AESHJ,25.35000,55.38000,1,0
AGANU,17.07466,-61.81752,1,0
AGSJO,17.12000,-61.85000,1,0
AIBLP,18.17734,-63.09352,1,0
AIRBY,18.22075,-63.06533,1,0
ALDRZ,41.33281,19.46161,1,0
ANBON,12.20189,-68.26238,1,0
ANCUR,12.12242,-68.88242,1,0
ANEUX,18.03483,-63.08417,1,0
ANGSB,-68.44861,12.16868,1,0
ANPHI,18.02958,-63.04714,1,0
ANSXM,12.22488,-68.81088,1,0
ANWIL,12.12242,-68.88242,1,0
AOCAB,-5.57057,12.19758,1,0
AOLAD,-8.83999,13.28944,1,0
AOLOB,-12.37573,13.56105,1,0
AOMSZ,-15.19783,12.15755,1,0
AOSZA,-6.14103,12.35211,1,0
ARBHI,-38.72000,-62.28000,1,0
ARBUE,-34.58000,-58.67000,1,0
ARCMP,-34.15000,-58.95000,1,0
ARCNQ,-27.46921,-58.83063,1,0
ARCRD,-45.86561,-67.48224,1,0
ARCVI,-46.44256,-67.51715,1,0
