# Orbital and suborbital launch sites, curated by hand — no public dataset covers these well.
# Coordinates are the primary pad or range head, good to ~100 m, which is ample for a 5 km lock.
# Columns: code,lat,lon,type,flags   (type 2 = spaceport, flags 1 = military range)
# The flag is recorded for completeness; a launch site draws a rocket either way.
code,lat,lon,type,flags
CCSFS,28.56190,-80.57720,2,1
KSC,28.60840,-80.60430,2,0
VSFB,34.74200,-120.57240,2,1
BOCA,25.99700,-97.15500,2,0
WFF,37.94010,-75.46640,2,0
PSCA,57.43560,-152.33780,2,0
SPCAM,32.99030,-106.97490,2,0
OMELK,9.04770,167.74310,2,1
BINF,-5.92000,-35.16000,2,1
ALCA,-2.37300,-44.39600,2,1
CSG,5.23600,-52.76860,2,0
BAIK,45.96500,63.30500,2,1
PLESK,62.92710,40.57770,2,1
VOSTO,51.88450,128.33350,2,0
KAPYR,48.57000,46.29000,2,1
JSLC,40.95830,100.29170,2,1
XSLC,28.24600,102.02700,2,1
TSLC,38.84900,111.60800,2,1
WSLS,19.61440,110.95100,2,0
HAIYA,36.68000,121.19000,2,0
SDSC,13.71990,80.23040,2,0
TNSC,30.40000,130.97000,2,0
USC,31.25100,131.07900,2,0
NARO,34.43190,127.53500,2,0
SOHAE,39.66000,124.70500,2,1
PALMA,31.89750,34.69060,2,1
SEMNA,35.23470,53.92100,2,1
SHARU,36.20000,55.33000,2,1
MAHIA,-39.26170,177.86500,2,0
WOOME,-30.95500,136.53200,2,1
KOONI,-31.88000,133.44000,2,0
BOWEN,-19.95000,148.08000,2,0
ANDOY,69.29410,16.02030,2,1
ESRAN,67.89390,21.10690,2,0
SAXAV,60.82000,-0.77000,2,0
SUTHR,58.49000,-4.21000,2,0
HAMMA,30.89700,-3.03000,2,1
